date,river_discharge_x,river_discharge_mean,river_discharge_median,river_discharge_min,river_discharge_max,river_discharge_p25,river_discharge_p75,latitude,longitude,p1_mm,p6_mm,a72_mm,pp_max,sm_mean,et24_mm,p1_pct,p6_pct,a72_pct,pp_unit,sm_norm,et_deficit,river_discharge_y,rd_norm,H_score
2024-06-27,0.92309177,0.9230918,0.92309177,0.92309177,0.92309177,0.92309177,0.92309177,-30.02499771118164,-51.22499084472656,0.0,0.0,5.0,,,0.0,0.4270833333333333,0.40029761904761907,0.5104166666666666,,,1.0,0.92309177,0.7291666666666666,0.5541294642857143
2024-06-28,0.7498467,0.74984705,0.7498467,0.7498467,0.7498467,0.7498467,0.7498467,-30.02499771118164,-51.22499084472656,0.0,0.0,4.100000381469727,,,0.0,0.4270833333333333,0.40029761904761907,0.4836309523809524,,,1.0,0.7498467,0.6770833333333334,0.539248511904762
2024-06-29,0.5310875,0.5310877,0.5310875,0.5310875,0.5310875,0.5310875,0.5310875,-30.02499771118164,-51.22499084472656,0.0,0.0,0.0,,,0.0,0.4270833333333333,0.40029761904761907,0.15922619047619047,,,1.0,0.5310875,0.5892857142857143,0.42689732142857145
2024-06-30,0.42232883,0.42232892,0.42232883,0.42232883,0.42232883,0.42232883,0.42232883,-30.02499771118164,-51.22499084472656,0.0,0.0,0.0,,,0.0,0.4270833333333333,0.40029761904761907,0.15922619047619047,,,1.0,0.42232883,0.5148809523809523,0.41759672619047616
2024-07-01,0.34276497,0.34276494,0.34276497,0.34276497,0.34276497,0.34276497,0.34276497,-30.02499771118164,-51.22499084472656,0.0,0.0,0.0,,,0.0,0.4270833333333333,0.40029761904761907,0.15922619047619047,,,1.0,0.34276497,0.4523809523809524,0.4097842261904762
2024-07-02,0.28233063,0.28233054,0.28233063,0.28233063,0.28233063,0.28233063,0.28233063,-30.02499771118164,-51.22499084472656,0.0,0.0,0.0,,,0.0,0.4270833333333333,0.40029761904761907,0.15922619047619047,,,1.0,0.28233063,0.39880952380952384,0.4030877976190476
2024-07-03,0.31219995,1.1208162,1.0684843,0.23310483,4.296634,0.57692844,1.491769,-30.02499771118164,-51.22499084472656,0.4000000059604645,1.3000000193715096,1.399999976158142,,,0.0,0.6324404761904762,0.6428571428571429,0.3392857142857143,,,1.0,0.31219995,0.43005952380952384,0.5647321428571429
2024-07-04,1.2335722,1.2283272,1.0919372,0.28233063,4.260173,0.9021814,1.4946742,-30.02499771118164,-51.22499084472656,1.0,2.7999999672174454,5.400000095367432,,,0.0,0.7232142857142857,0.7217261904761905,0.5163690476190477,,,1.0,1.2335722,0.7842261904761905,0.7003348214285714
2024-07-05,1.8906798,2.197306,2.2210689,0.98609495,3.560369,1.8248801,2.5974934,-30.02499771118164,-51.22499084472656,2.799999952316284,11.300000071525574,17.80000114440918,,,0.0,0.8348214285714286,0.8869047619047619,0.7752976190476191,,,1.0,1.8906798,0.8616071428571429,0.8564918154761906
2024-07-06,0.7823787,0.8284845,0.7823787,0.7823787,1.2803421,0.7823787,0.8450154,-30.02499771118164,-51.22499084472656,0.20000000298023224,0.20000000298023224,16.600000381469727,,,0.0,0.5699404761904762,0.48214285714285715,0.7559523809523809,,,1.0,0.7823787,0.6889880952380952,0.6692708333333333
2024-07-07,0.4859357,0.49073407,0.4859357,0.4859357,0.61064565,0.4859357,0.4859357,-30.02499771118164,-51.22499084472656,0.0,0.20000000298023224,12.600000381469727,,,0.0,0.4270833333333333,0.48214285714285715,0.6800595238095238,,,1.0,0.4859357,0.5639880952380952,0.6120721726190476
2024-07-08,0.3273945,0.3273945,0.3273945,0.3273945,0.3273945,0.3273945,0.3273945,-30.02499771118164,-51.22499084472656,0.0,0.0,0.20000000298023224,,,0.0,0.4270833333333333,0.40029761904761907,0.21875,,,1.0,0.3273945,0.44494047619047616,0.42745535714285715
2024-07-09,0.25025904,0.26973975,0.25025904,0.25025904,0.733804,0.25025904,0.25025904,-30.02499771118164,-51.22499084472656,0.699999988079071,1.8000000044703484,1.8000000715255737,,,0.0,0.6904761904761905,0.6726190476190477,0.3705357142857143,,,1.0,0.25025904,0.37648809523809523,0.5843563988095238
2024-07-10,2.6897757,2.4197018,2.2961318,1.1428907,4.1760683,2.0391726,2.786607,-30.02499771118164,-51.22499084472656,4.5,12.799999922513962,18.399999618530273,,,0.0,0.8943452380952381,0.9047619047619048,0.7797619047619048,,,1.0,2.6897757,0.9002976190476191,0.8757440476190477
2024-07-11,1.1086283,1.1258327,1.0941124,1.0941124,1.3280914,1.0941124,1.1232445,-30.02499771118164,-51.22499084472656,0.10000000149011612,0.30000000447034836,18.700000762939453,,,0.0,0.5193452380952381,0.5029761904761905,0.7827380952380952,,,1.0,1.1086283,0.7529761904761905,0.6858258928571429
2024-07-12,0.56314766,0.56436294,0.56314766,0.56314766,0.61064565,0.56314766,0.56314766,-30.02499771118164,-51.22499084472656,0.0,0.0,16.899999618530273,,,0.0,0.4270833333333333,0.40029761904761907,0.7604166666666666,,,1.0,0.56314766,0.6026785714285714,0.6164434523809523
2024-07-13,0.38995266,0.392122,0.38995266,0.38995266,0.4521116,0.38995266,0.38995266,-30.02499771118164,-51.22499084472656,1.2000000476837158,2.000000037252903,2.299999952316284,,,0.0,0.7425595238095238,0.6815476190476191,0.39880952380952384,,,1.0,0.38995266,0.4895833333333333,0.6166294642857143
2024-07-14,1.8575904,2.5192914,2.428123,0.8578044,5.441693,1.699305,3.0621934,-30.02499771118164,-51.22499084472656,1.600000023841858,6.800000071525574,15.799999237060547,,,0.0,0.7738095238095238,0.8348214285714286,0.7291666666666666,,,1.0,1.8575904,0.8556547619047619,0.8174293154761905
2024-07-15,0.8281002,0.9421135,0.9054607,0.8281002,1.3442287,0.8281002,1.0219042,-30.02499771118164,-51.22499084472656,0.0,0.4000000059604645,15.799999237060547,,,0.0,0.4270833333333333,0.5282738095238095,0.7291666666666666,,,1.0,0.8281002,0.7053571428571429,0.6595052083333333
2024-07-16,0.7498467,0.79710925,0.538171,0.5170504,2.6057863,0.5170504,0.9176804,-30.02499771118164,-51.22499084472656,0.8999999761581421,1.8999999836087227,15.899999618530273,,,0.0,0.7127976190476191,0.6770833333333334,0.7366071428571429,,,1.0,0.7498467,0.6770833333333334,0.7405133928571429
2024-07-17,0.59220874,0.7921976,0.5776782,0.4521116,2.6897757,0.4521116,0.84744036,-30.02499771118164,-51.22499084472656,0.30000001192092896,1.7999999821186066,2.5999999046325684,,,0.0,0.6011904761904762,0.6711309523809523,0.41517857142857145,,,1.0,0.59220874,0.6220238095238095,0.6173735119047619
2024-07-18,0.37404191,0.37404191,0.37404191,0.37404191,0.37404191,0.37404191,0.37404191,-30.02499771118164,-51.22499084472656,0.0,0.0,2.5999999046325684,,,0.0,0.4270833333333333,0.40029761904761907,0.41517857142857145,,,1.0,0.37404191,0.47767857142857145,0.49293154761904767
2024-07-19,0.31219995,0.31219983,0.31219995,0.31219995,0.31219995,0.31219995,0.31219995,-30.02499771118164,-51.22499084472656,0.0,0.0,0.5,,,0.0,0.4270833333333333,0.40029761904761907,0.27380952380952384,,,1.0,0.31219995,0.43005952380952384,0.4428013392857143
2024-07-20,0.23310483,0.23310472,0.23310483,0.23310483,0.23310483,0.23310483,0.23310483,-30.02499771118164,-51.22499084472656,0.10000000149011612,0.20000000298023224,0.20000000298023224,,,0.0,0.5193452380952381,0.48214285714285715,0.21875,,,1.0,0.23310483,0.35119047619047616,0.45284598214285715
2024-07-21,0.18850219,0.18850227,0.18850219,0.18850219,0.18850219,0.18850219,0.18850219,-30.02499771118164,-51.22499084472656,0.0,0.0,0.20000000298023224,,,0.0,0.4270833333333333,0.40029761904761907,0.21875,,,1.0,0.18850219,0.30505952380952384,0.4099702380952381
2024-07-22,0.1561122,0.1561122,0.1561122,0.1561122,0.1561122,0.1561122,0.1561122,-30.02499771118164,-51.22499084472656,0.0,0.0,0.20000000298023224,,,0.0,0.4270833333333333,0.40029761904761907,0.21875,,,1.0,0.1561122,0.2604166666666667,0.40438988095238093
2024-07-23,0.12460494,0.12460503,0.12460494,0.12460494,0.12460494,0.12460494,0.12460494,-30.02499771118164,-51.22499084472656,0.0,0.0,0.0,,,0.0,0.4270833333333333,0.40029761904761907,0.15922619047619047,,,1.0,0.12460494,0.20833333333333334,0.37927827380952384
2024-07-24,0.10917485,0.10917477,0.10917485,0.10917485,0.10917485,0.10917485,0.10917485,-30.02499771118164,-51.22499084472656,0.0,0.0,0.0,,,0.0,0.4270833333333333,0.40029761904761907,0.15922619047619047,,,1.0,0.10917485,0.16815476190476192,0.3742559523809524
2024-07-25,0.09395635,0.09395641,0.09395635,0.09395635,0.09395635,0.09395635,0.09395635,-30.02499771118164,-51.22499084472656,0.0,0.0,0.0,,,0.0,0.4270833333333333,0.40029761904761907,0.15922619047619047,,,1.0,0.09395635,0.13541666666666666,0.37016369047619047
