date,river_discharge,river_discharge_mean,river_discharge_median,river_discharge_min,river_discharge_max,river_discharge_p25,river_discharge_p75,latitude,longitude
2024-05-15,1.1727014,1.1727018,1.1727014,1.1727014,1.1727014,1.1727014,1.1727014,-30.02499771118164,-51.22499084472656
2024-05-16,2.2658782,2.4249845,2.4199393,1.3442287,4.8748937,1.8993343,2.8326652,-30.02499771118164,-51.22499084472656
2024-05-17,3.6989408,2.5447185,2.5399828,1.3120646,4.48277,1.9394127,3.1092315,-30.02499771118164,-51.22499084472656
2024-05-18,1.4210291,1.4496689,1.4210291,1.4210291,1.7989812,1.4210291,1.4210291,-30.02499771118164,-51.22499084472656
2024-05-19,0.7988709,0.97655696,0.8450154,0.6710906,2.3419504,0.733804,1.0726295,-30.02499771118164,-51.22499084472656
2024-05-20,0.5776112,0.5951597,0.5776112,0.5776112,0.7498467,0.5776112,0.596818,-30.02499771118164,-51.22499084472656
2024-05-21,0.43879855,0.5076627,0.43879855,0.43879855,2.311311,0.43879855,0.43879855,-30.02499771118164,-51.22499084472656
2024-05-22,0.35831344,0.37336308,0.35831344,0.35831344,1.0137241,0.35831344,0.35831344,-30.02499771118164,-51.22499084472656
2024-05-23,5.8233867,7.8660135,7.671089,3.6881337,14.135611,6.405757,8.727783,-30.02499771118164,-51.22499084472656
2024-05-24,4.3088446,3.9448042,3.655861,2.4514372,6.961594,3.1495736,4.633158,-30.02499771118164,-51.22499084472656
2024-05-25,1.5468302,1.5541422,1.5468302,1.5468302,1.7478943,1.5468302,1.5468302,-30.02499771118164,-51.22499084472656
2024-05-26,0.98609495,0.9932634,0.98609495,0.98609495,1.1428907,0.98609495,0.98609495,-30.02499771118164,-51.22499084472656
2024-05-27,4.0350065,5.113314,5.1045303,1.5763211,7.51138,4.1227226,6.103966,-30.02499771118164,-51.22499084472656
2024-05-28,1.6424086,1.8671988,1.844461,1.5763211,2.2960973,1.7305615,1.975095,-30.02499771118164,-51.22499084472656
2024-05-29,0.9543395,0.9747165,0.9543395,0.9543395,1.2029264,0.9543395,0.98953664,-30.02499771118164,-51.22499084472656
2024-05-30,0.686553,0.6865535,0.686553,0.686553,0.686553,0.686553,0.686553,-30.02499771118164,-51.22499084472656
2024-05-31,0.5310875,0.5310877,0.5310875,0.5310875,0.5310875,0.5310875,0.5310875,-30.02499771118164,-51.22499084472656
2024-06-01,0.42232883,0.42232892,0.42232883,0.42232883,0.42232883,0.42232883,0.42232883,-30.02499771118164,-51.22499084472656
2024-06-02,0.34276497,0.34276494,0.34276497,0.34276497,0.34276497,0.34276497,0.34276497,-30.02499771118164,-51.22499084472656
2024-06-03,0.56314766,0.7647263,0.7179084,0.40604758,1.3604782,0.64058983,0.8664392,-30.02499771118164,-51.22499084472656
2024-06-04,0.40604758,0.40604773,0.40604758,0.40604758,0.40604758,0.40604758,0.40604758,-30.02499771118164,-51.22499084472656
2024-06-05,0.31219995,0.37713164,0.31219995,0.31219995,2.4514372,0.31219995,0.31219995,-30.02499771118164,-51.22499084472656
2024-06-06,0.25025904,0.25268623,0.25025904,0.25025904,0.37404191,0.25025904,0.25025904,-30.02499771118164,-51.22499084472656
2024-06-07,0.23310483,0.23310472,0.23310483,0.23310483,0.23310483,0.23310483,0.23310483,-30.02499771118164,-51.22499084472656
2024-06-08,0.18850219,0.18850227,0.18850219,0.18850219,0.18850219,0.18850219,0.18850219,-30.02499771118164,-51.22499084472656
2024-06-09,0.1561122,0.1561122,0.1561122,0.1561122,0.1561122,0.1561122,0.1561122,-30.02499771118164,-51.22499084472656
2024-06-10,0.14024973,0.14024973,0.14024973,0.14024973,0.14024973,0.14024973,0.14024973,-30.02499771118164,-51.22499084472656
2024-06-11,0.10917485,0.19553718,0.10917485,0.10917485,2.7153523,0.10917485,0.10917485,-30.02499771118164,-51.22499084472656
2024-06-12,0.09395635,0.09395641,0.09395635,0.09395635,0.09395635,0.09395635,0.09395635,-30.02499771118164,-51.22499084472656
2024-06-13,0.07894671,0.07894666,0.07894671,0.07894671,0.07894671,0.07894671,0.07894671,-30.02499771118164,-51.22499084472656
2024-06-14,0.07894671,0.07894666,0.07894671,0.07894671,0.07894671,0.07894671,0.07894671,-30.02499771118164,-51.22499084472656
2024-06-15,2.3265955,1.6608924,1.6154634,0.061695576,3.6131754,0.9154047,2.439544,-30.02499771118164,-51.22499084472656
2024-06-16,6.852356,9.522958,9.234259,3.655861,19.137243,7.351226,12.009346,-30.02499771118164,-51.22499084472656
2024-06-17,1.9241524,2.2946913,2.1117163,1.8119009,4.984116,1.91912,2.5196612,-30.02499771118164,-51.22499084472656
2024-06-18,1.2961485,1.4907779,1.412696,1.1086283,3.1209755,1.2803421,1.5882955,-30.02499771118164,-51.22499084472656
2024-06-19,3.7643094,2.868608,2.7976427,1.3280914,6.3451385,2.4360142,3.1880696,-30.02499771118164,-51.22499084472656
