date,p1_mm,p6_mm,a72_mm,pp_max,sm_mean,et24_mm,p1_pct,p6_pct,a72_pct,pp_unit,sm_norm,et_deficit,river_discharge,rd_norm,H_score
2024-10-06,0.0,0.0,0.0,,,0.0,0.4270833333333333,0.40029761904761907,0.15922619047619047,,,1.0,0.24165225,0.3556547619047619,0.3976934523809524
2024-10-07,0.699999988079071,2.200000025331974,2.9000000953674316,,,0.0,0.6904761904761905,0.6919642857142857,0.42857142857142855,,,1.0,1.4378109,0.8110119047619048,0.6628534226190477
2024-10-08,3.200000047683716,5.900000050663948,10.40000057220459,,,0.0,0.8497023809523809,0.8095238095238095,0.625,,,1.0,2.2359364,0.8809523809523809,0.7896205357142858
2024-10-09,0.30000001192092896,0.8000000193715096,10.800000190734863,,,0.0,0.6011904761904762,0.5892857142857143,0.6383928571428571,,,1.0,0.914256,0.7232142857142857,0.6742001488095238
2024-10-10,3.299999952316284,5.999999955296516,16.700000762939453,,,0.0,0.8556547619047619,0.8110119047619048,0.7589285714285714,,,1.0,1.1086283,0.7529761904761905,0.8166852678571428
2024-10-11,1.399999976158142,2.2999999821186066,13.40000057220459,,,0.0,0.7544642857142857,0.6979166666666666,0.6949404761904762,,,1.0,1.1428907,0.7633928571428571,0.7499999999999999
2024-10-12,0.10000000149011612,1.399999976158142,13.100000381469727,,,0.0,0.5193452380952381,0.6473214285714286,0.6875,,,1.0,0.7498467,0.6770833333333334,0.6916852678571428
2024-10-13,0.0,0.0,4.300000190734863,,,0.0,0.4270833333333333,0.40029761904761907,0.4895833333333333,,,1.0,0.6710906,0.6473214285714286,0.5373883928571429
2024-10-14,0.0,0.0,0.10000000149011612,,,0.0,0.4270833333333333,0.40029761904761907,0.19345238095238096,,,1.0,0.44543982,0.5342261904761905,0.43071056547619047
2024-10-15,6.300000190734863,11.60000018030405,12.0,,,0.0,0.9330357142857143,0.8928571428571429,0.6607142857142857,,,1.0,0.4859357,0.5639880952380952,0.7976190476190476
2024-10-16,0.30000001192092896,0.4000000134110451,12.399999618530273,,,0.0,0.6011904761904762,0.5342261904761905,0.6711309523809523,,,1.0,0.3520726,0.4583333333333333,0.6341145833333334
2024-10-17,0.0,0.0,12.399999618530273,,,0.0,0.4270833333333333,0.40029761904761907,0.6711309523809523,,,1.0,0.29717922,0.41220238095238093,0.5647321428571428
2024-10-18,0.10000000149011612,0.10000000149011612,0.5,,,0.0,0.5193452380952381,0.44494047619047616,0.27380952380952384,,,1.0,0.32129562,0.43452380952380953,0.46884300595238093
2024-10-19,0.20000000298023224,0.5000000074505806,1.0,,,0.0,0.5699404761904762,0.5476190476190477,0.3125,,,1.0,0.24738348,0.35714285714285715,0.5096726190476191
2024-10-20,0.0,0.0,1.0,,,0.0,0.4270833333333333,0.40029761904761907,0.3125,,,1.0,0.21618605,0.31994047619047616,0.44112723214285715
2024-10-21,0.0,0.0,0.9000000357627869,,,0.0,0.4270833333333333,0.40029761904761907,0.3005952380952381,,,1.0,0.17219532,0.27827380952380953,0.4321986607142857
2024-10-22,0.0,0.0,0.0,,,0.0,0.4270833333333333,0.40029761904761907,0.15922619047619047,,,1.0,0.14024973,0.22916666666666666,0.38188244047619047
2024-10-23,0.20000000298023224,0.20000000298023224,0.30000001192092896,,,0.0,0.5699404761904762,0.48214285714285715,0.23809523809523808,,,1.0,0.12201846,0.17113095238095238,0.44270833333333337
